src,tgt,hyp,ref,task,label
"I would have been nine or ten when my mother chased me up a thorn tree with a ceremonial hippo-hide whip . what my crime was , i forget . my mother was , and remains , a woman of exceptional forbearance . i must have done something so obnoxious as to beggar belief . What is the meaning of obnoxious ?","Extremely unpleasant or offensive ; very annoying , odious or contemptible .","Extremely unpleasant, unpleasant, or unpleasant.",tgt,DM,1
The intrinsic merit of an action . What is the meaning of intrinsic ?,"Innate , inherent , inseparable from the thing itself , essential .",Of or pertaining to the nature of something ; intrinsic.,tgt,DM,0
We need a plumber to unblock the sink . What is the meaning of unblock ?,To remove or clear a block or obstruction from .,To remove a blockage from.,tgt,DM,0
"Take a look at this , it 's the choreography for our next show . What is the meaning of choreography ?",The notation used to construct this record .,The arrangement of dance moves in a performance.,tgt,DM,1
"If we go this way , we 'll get there quickly . What is the meaning of quickly ?",Very soon .,In a quick manner ; quickly.,tgt,DM,1
Did you hunt that pony last week ? What is the meaning of hunt ?,"To use or manage ( dogs , horses , etc . ) in hunting .",To search for ( a person or animal ) by hunting.,tgt,DM,1
The spirit is not bound to follow the laws and dictamens of the flesh . What is the meaning of dictamen ?,A dictation or dictate .,"A rule or rule, especially one imposed by authority ; a dictate.",tgt,DM,1
The quality of the beer was exceptional . What is the meaning of exceptional ?,Better than the average ; superior due to exception or rarity .,Of exceptional quality ; exceptional ; exceptional.,tgt,DM,1
"But while the effluent beams of the sun , and their quickening power in the natural sphere , furnish a good illustration of my idea of the holy spirit , i may , perhaps , illustrate the idea still better by a reference to human thoughts and affections . What is the meaning of effluent ?",Flowing out ; outflowing .,Filled with liquid ; effluent.,tgt,DM,1
Thus initially neuroleptics may increase da turnover and possibly even its action depending on the degree of postsynaptic block . What is the meaning of neuroleptic ?,An drug .,A drug that stimulates the nervous system.,tgt,DM,1
With shadowy forests and with champains rich 'd . What is the meaning of rich ?,To enrich .,To make rich ; to make rich.,tgt,DM,1
My twerpy little brother is throwing books down the stairs . What is the meaning of twerpy ?,Like a twerp ; puny and obnoxious .,Having a twerpy appearance.,tgt,DM,1
That 's a daft idea ... it 'll never float . What is the meaning of float ?,( of an idea or scheme ) To be viable .,To be accepted as valid ; to be accepted as valid.,tgt,DM,1
To the muzzy drumming of beer in his veins he gazed long and owlishly at the sombre cottage [ . ] What is the meaning of owlishly ?,"In an owlish manner , especially with regard to looking .",In an owlish manner.,tgt,DM,0
Advertisers that bought multipage spreads were permitted to post additional content . What is the meaning of multipage ?,Including or containing multiple pages,Having more than one page.,tgt,DM,0
"After four grueling laps , the race had come down to a sprint . into the straight , although my legs were burning , i called on them for more , and they responded . on my inside the maroon singlet came with me , until it was just the two of us heading for the line . What is the meaning of straight ?",Something that is not crooked or bent such as a part of a road or track .,A straight course.,tgt,DM,1
A government fiat . What is the meaning of fiat ?,"Authorization , permission or ( official ) sanction .","A formal order, especially one made by a government.",tgt,DM,0
"`` it 's a fearful strong charm needs dragon 's blood , '' he said plaintively . What is the meaning of fearful ?",Extremely ; fearfully .,causing fear or aversion,tgt,DM,1
"As soon as you bite that sandwich , you 'll know how good it is . What is the meaning of bite ?",To cut into something by clamping the teeth .,To take a bite of.,tgt,DM,1
A patronymic denomination . What is the meaning of patronymic ?,Derived from one 's ancestors .,Of or pertaining to a patronym.,tgt,DM,1
The child 's constant wrigglings made her difficult to hold . What is the meaning of wriggling ?,The act of one who wriggles .,The act of a person or animal wriggling.,tgt,DM,0
The shakespearean shylock is of dubious value in the modern world . What is the meaning of value ?,The quality ( positive or negative ) that renders something desirable or valuable .,"The quality of being worth, of being useful, useful, useful.",tgt,DM,0
Ellie had a bad case of nerves before the big test . What is the meaning of nerve ?,"Agitation caused by fear , stress or other negative emotion .",A strong feeling of nervousness.,tgt,DM,1
There was not much to do after the accident but offer what condolence i could . What is the meaning of condolence ?,"Comfort , support or sympathy .",A feeling of sympathy for the loss of someone or something.,tgt,DM,0
"His public record is already besmeared with tawdry divorces , What is the meaning of besmear ?",To smear over ; smear all over ; sully .,To cover with smear.,tgt,DM,1
The suspect was released without further incident . What is the meaning of incident ?,An event or occurrence .,A particular instance of something happening ; an instance of something happening.,tgt,DM,1
"Pancake writes : `` if you can unfocus your eyes right — and corey can — wading the creek is like walking the aisle of a wal-mart made for corey , with all the price tags saying free . '' What is the meaning of unfocus ?",To bring out of focus .,To remove the focus of ( one's eyes ).,tgt,DM,0
I do n't want to be a relationship with you anymore - you are too much of a taker . What is the meaning of taker ?,"A person or thing that takes or receives , often more than he or she gives .",One who takes.,tgt,DM,1
You do n't need to put on a front . just be yourself . What is the meaning of front ?,"An act , show , façade , persona : an intentional and false impression of oneself .",A person's appearance.,tgt,DM,1
The number π is irrational . What is the meaning of irrational ?,"Of a real number , that can not be written as the ratio of two integers .",Of a number : having no definite value ; irrational.,tgt,DM,1
"In islam , sunni is a more triumphant version of the faith than shia , which stresses the importance of suffering , following the founder ali , who was persecuted . What is the meaning of Sunni ?",Sunni Islam .,"The muslim faith, based on the teachings of the sunni muslims.",tgt,DM,1
His professed religion was catholicism . What is the meaning of professed ?,Openly declared or acknowledged .,Having been professed.,tgt,DM,1
"In the late eighteenth and early nineteenth century in the u.s. , `` strong '' ploughs requiring the draft of four and sometimes six oxen were frequently used for breaking land which had previously lain fallow for several years . What is the meaning of draft ?",The action or an act ( especially of a beast of burden or vehicle ) of pulling something along or back .,"The act of drawing, or the process of drawing.",tgt,DM,1
